# from serenes forest https://serenesforest.net/binding-blade/inventory/lances/
# name [tab] name [tab] rank required [tab] range [tab] weight [tab] might [tab] hit [tab] ctir [tab] uses [tab] value [tab] notes
Iron Axe	Iron Axe	E	1	10	8	65	0	45	270	–
Steel Axe	Steel Axe	E	1	15	11	50	0	30	360	–
Silver Axe	Silver Axe	A	1	12	15	55	0	20	1000	–
Poison Axe	Poison Axe	D	1	10	4	50	0	40	–	Poisons on contact (cannot be obtained)
Brave Axe	Brave Axe	B	1	16	10	55	0	30	2250	Allows 2 consecutive hits
Hand Axe	Hand Axe	E	1~2	12	7	50	0	20	300	–
Armads	Armads	S	1	13	18	75	0	20	–	Defence +5, effective against Mamkutes, Wyvern Riders and Wyvern Lords
Hammer	Hammer	D	1	15	8	45	0	20	800	Effective against Knights and Generals
Killer Axe	Killer Axe	C	1	11	11	65	30	20	1000	–
Swordreaver	Swordreaver	C	1	13	11	60	5	20	2800	Good against Swords, bad against Lances
Devil Axe	Devil Axe	E	1	18	18	55	0	20	900	Damages user if Luck is low
Halberd	Halberd	D	1	15	10	55	0	18	810	Effective against Cavaliers and Paladins
Tomahawk	Tomahawk	A	1~2	14	13	55	0	15	3000	(Usable in Trial Maps only)
